"","blinded_number","genotype","brain_region","sex","markers","objects","mean_region_volume.mm3.","mean_cell_volume","total_volume.mm3.","cell_density.cells.mm3.","cell_coverage.100percent."
"1","an10","WT","CA1","female","GFAP+",11633,0.0418598958892805,161.016909567609,0.001873109709,486.95616888,4.4747118195286
"2","an10","WT","CA1","female","S100B+GFAP-",310,0.0419667681806452,178.131396774194,5.5220733e-05,13.009698136,0.131582047877271
"3","an10","WT","CA1","female","S100B+GFAP+",2125,0.0419345703303529,342.147809411765,0.000727064095,89.110961952,1.7338059965139
"4","an11","WT","CA1","female","GFAP+",6418,0.0392914613275164,134.944052820193,0.000866070931,252.1725988,2.20422173606834
"5","an11","WT","CA1","female","S100B+GFAP-",297,0.0392601304242424,180.612080808081,5.3641788e-05,11.660258736,0.136631711154167
"6","an11","WT","CA1","female","S100B+GFAP+",1639,0.0391988398486882,337.212304453935,0.000552690967,64.246898512,1.40996766519991
"7","an12","WT","CA1","male","GFAP+",12472,0.0539663516869788,149.905910038486,0.00186962651,673.06833824,3.46443005976094
"8","an12","WT","CA1","male","S100B+GFAP-",397,0.0539365285239295,167.138365239295,6.6353931e-05,21.412801824,0.123022250070398
"9","an12","WT","CA1","male","S100B+GFAP+",2642,0.0543886617501892,280.472877365632,0.000741009342,143.694844344,1.3624334891774
"10","an13","Dp(10)2Yey","CA1","female","GFAP+",11512,0.0440640694357192,163.090132470466,0.001877493605,507.265567344,4.26082663050196
"11","an13","Dp(10)2Yey","CA1","female","S100B+GFAP-",439,0.0455706781958998,167.276637813212,7.3434444e-05,20.005527728,0.161144066551564
"12","an13","Dp(10)2Yey","CA1","female","S100B+GFAP+",3189,0.044091721758545,345.606784571966,0.001102140036,140.608500688,2.49965297802507
"13","an15","WT","CA1","male","GFAP+",11258,0.0437323696315509,176.117197726061,0.001982727412,492.339017312,4.53377539041368
"14","an15","WT","CA1","male","S100B+GFAP-",321,0.0449630888971963,177.868295950156,5.7095723e-05,14.433151536,0.126983542279633
"15","an15","WT","CA1","male","S100B+GFAP+",2455,0.0448064386346232,330.624306313646,0.000811682672,109.999806848,1.81153132615362
"16","an17","WT","CA1","female","GFAP+",7622,0.0443238039149829,158.894606664917,0.001211094692,337.83603344,2.73237986144643
"17","an17","WT","CA1","female","S100B+GFAP-",283,0.0443765562402827,169.65035335689,4.801105e-05,12.558565416,0.108190121243383
"18","an17","WT","CA1","female","S100B+GFAP+",1716,0.0445214900512821,369.644868298368,0.000634310594,76.398876928,1.42472903146182
"19","an18","WT","CA1","male","GFAP+",13504,0.0595589715094787,150.100269771919,0.002026954043,804.284351264,3.40327240653814
"20","an18","WT","CA1","male","S100B+GFAP-",598,0.058315566367893,157.962307692308,9.446146e-05,34.872708688,0.161983267733481
"21","an18","WT","CA1","male","S100B+GFAP+",2861,0.0589344834309682,295.539127228242,0.000845537443,168.611557096,1.43470748155518
"22","an19","Dp(10)2Yey","CA1","male","GFAP+",15978,0.060193247210915,156.063128864689,0.002493576673,961.767703936,4.14261863006426
"23","an19","Dp(10)2Yey","CA1","male","S100B+GFAP-",722,0.0600450898614958,165.054979224377,0.000119169695,43.35255488,0.198467010832834
"24","an19","Dp(10)2Yey","CA1","male","S100B+GFAP+",4181,0.0602074361234154,365.328364506099,0.001527437892,251.727290432,2.53695887144073
"25","an2","Dp(10)2Yey","CA1","male","GFAP+",10159,0.0501126782951078,173.920820848509,0.001766861619,509.0946988,3.52577766567405
"26","an2","Dp(10)2Yey","CA1","male","S100B+GFAP-",435,0.0490854702528736,149.270117241379,6.4932501e-05,21.35217956,0.132284565402934
"27","an2","Dp(10)2Yey","CA1","male","S100B+GFAP+",3091,0.0492917657715949,334.877503396959,0.001035106363,152.360848,2.09995796822619
"28","an20","WT","CA1","male","GFAP+",10514,0.0534137043172912,152.331786284953,0.001601616401,561.591687192,2.99851212618766
"29","an20","WT","CA1","male","S100B+GFAP-",312,0.0539374043846154,172.135958333333,5.3706419e-05,16.828470168,0.0995717528730744
"30","an20","WT","CA1","male","S100B+GFAP+",2549,0.0536825573291487,359.18610474696,0.000915565381,136.836838632,1.70551744654472
"31","an3","WT","CA1","female","GFAP+",10241,0.0372665088346841,126.145728346841,0.001291858404,381.646316976,3.46653991585512
"32","an3","WT","CA1","female","S100B+GFAP-",439,0.0364560579863326,176.356596810934,7.7420546e-05,16.004209456,0.212366751306532
"33","an3","WT","CA1","female","S100B+GFAP+",2089,0.0362206841550981,271.748692197224,0.000567683018,75.6650092,1.56728960604157
"34","an4","Dp(10)2Yey","CA1","male","GFAP+",15319,0.0544640367825576,152.083359684052,0.002329764987,834.334579472,4.27762083868546
"35","an4","Dp(10)2Yey","CA1","male","S100B+GFAP-",718,0.0542079755543175,160.481782729805,0.00011522592,38.921326448,0.212562669647276
"36","an4","Dp(10)2Yey","CA1","male","S100B+GFAP+",4039,0.0543814195592969,357.366719732607,0.001443404181,219.6465536,2.65422306496823
"37","an5","Dp(10)2Yey","CA1","female","GFAP+",4354,0.052741128,117.979801561782,0.000513684056,229.634871312,0.97397244897758
